Architecture,Factor,Degree,GA,IA,GAcc,IAcc,FRR,FAR,EER
Arch A (1_to_lock_1_to_unlock),34,11,47,4990,14,8,70.2127659574468,0.16032064128256512,35.186543299364686
Arch A (1_to_lock_rest_to_unlock),34,11,47,4990,14,8,70.2127659574468,0.16032064128256512,35.186543299364686
Arch A (1_to_lock_1_to_unlock),35,5,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),35,5,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),35,6,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),35,6,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),35,7,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),35,7,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),35,8,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),35,8,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),35,9,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),35,9,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),35,10,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),35,10,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),35,11,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),35,11,0,0,0,0,0.0,0.0,0.0
Arch B (1_to_lock_1_to_unlock),2,5,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),2,5,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),2,6,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),2,6,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),2,7,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),2,7,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),2,8,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),2,8,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),2,9,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),2,9,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),2,10,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),2,10,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),2,11,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),2,11,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_1_to_unlock),8,5,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
Arch B (1_to_lock_rest_to_unlock),8,5,47,4990,15,1603,68.08510638297872,32.12424849699399,50.10467743998636
